post_title,seo_page_title,categoryParent,author_name,post_date,imageDesktop650,imageMobile320,categoryChild,post_url,scraped_at
Hero Counter Guinevere yang Bisa Kamu Coba di Mobile Legends,Hero Counter Guinevere yang Bisa Kamu Coba di Mobile Legends,Esports,Elang,2023-12-08 16:30:05,2023/12/E-13-640x360.jpg,2023/12/E-13-320x180.jpg,Mobile Legends,esports/mobile-legends/hero-counter-guinevere-mobile-legend-mlbb,2023-12-08 16:34:50
Ado The First World Tour Wish Akan Mampir ke Indonesia!,Ado The First World Tour Wish Akan Mampir ke Indonesia!,Geek,Mecca Medina,2023-12-08 15:59:55,2023/12/Ado-The-First-World-Tour-featured-640x360.jpg,2023/12/Ado-The-First-World-Tour-featured-320x180.jpg,Hobi,geek/hobi/ado-the-first-world-tour-wish,2023-12-08 16:34:50
Cloud9 Umumkan Koleksi Ekslusif Merchandise One Piece,Cloud9 Umumkan Koleksi Ekslusif Merchandise One Piece,Geek,Mallasak,2023-12-08 15:30:57,2023/12/Credit-4-2-640x360.jpg,2023/12/Credit-4-2-320x180.jpg,Anime Manga,geek/anime-manga/cloud9-umumkan-koleksi-ekslusif-merchandise-one-piece,2023-12-08 16:34:50
Panduan Rute Farming Terbaik Beryl Conch di Genshin Impact,,Geek,Elang,2023-12-08 15:00:20,2023/12/E-15-640x360.jpg,2023/12/E-15-320x180.jpg,Game,geek/game/rute-farming-beryl-conch-genshin-impact,2023-12-08 16:34:50
RRQ dan Alter Ego Jadi Tim Esports Terpopuler di Q3 2023,RRQ dan Alter Ego Jadi Tim Esports Terpopuler di Q3 2023,Esports,Mecca Medina,2023-12-08 14:40:34,2023/12/rrq-alter-ego-tim-terpopuler-featured-640x360.jpg,2023/12/rrq-alter-ego-tim-terpopuler-featured-320x180.jpg,Esports Lain,esports/esports-lain/rrq-alter-ego-tim-terpopuler,2023-12-08 16:34:50
"Twitch Bakal Berhenti Beroperasi di Korea Selatan, Apa Alasannya?","Twitch Bakal Berhenti Beroperasi di Korea Selatan, Apa Alasannya?",Tekno,Sandi,2023-12-08 14:20:11,2023/12/twitch-korea-selatan-640x360.jpg,2023/12/twitch-korea-selatan-320x180.jpg,Aplikasi,tekno/aplikasi/twitch-bakal-berhenti-beroperasi-di-korea-selatan-apa-alasannya,2023-12-08 16:34:50
"Emblem dan Item Masha Versi R7, Jadi Full untuk Damage!","Emblem dan Item Masha Versi R7, Jadi Full untuk Damage!",Esports,Taufiq Radityadji,2023-12-08 14:00:28,2023/12/Emblem-Masha-Versi-R7-Featured-640x360.jpg,2023/12/Emblem-Masha-Versi-R7-Featured-320x180.jpg,Mobile Legends,esports/mobile-legends/emblem-masha-versi-r7,2023-12-08 16:34:50
DLC Final Fantasy XVI Bakal Sajikan Kisah Masa Lalu Claive,DLC Final Fantasy XVI Bakal Sajikan Kisah Masa Lalu Claive,Geek,Sandi,2023-12-08 13:40:07,2023/12/dlc-final-fantasy-xvi-640x360.jpg,2023/12/dlc-final-fantasy-xvi-320x180.jpg,Game,geek/game/dlc-final-fantasy-xvi-bakal-sajikan-kisah-masa-lalu-claive,2023-12-08 16:34:50
Film Anime Original Fureru dari Aniplex Rilis 2024,Anime Fureru Dari Aniplex Segera Rilis Tahun 2024,Geek,Arini Rizki Fauziah,2023-12-08 13:20:13,2023/12/Anime-Fureru-1-640x360.jpg,2023/12/Anime-Fureru-1-320x180.jpg,Anime Manga,geek/anime-manga/anime-fureru,2023-12-08 16:34:50
"Mantan Pelatih Bigetron Era, Razeboy Jelaskan Alasan Belum Adanya MPL Ladies",Mantan Pelatih Bigetron Era Jelaskan Alasan Belum Adanya MPL Ladies,Esports,Retna Kumalasari,2023-12-08 13:00:24,2023/12/MPL-Ladies-1-640x360.jpg,2023/12/MPL-Ladies-1-320x180.jpg,Mobile Legends,esports/mobile-legends/alasan-belum-adanya-mpl-ladies,2023-12-08 16:34:50
Prediksi ONIC vs Blacklist International di Knockout M5,Prediksi Onic Esports vs Blacklist International di Knockout M5,Esports,Farid Ansori,2023-12-08 12:40:42,2023/12/IMG_7123-640x360.jpeg,2023/12/IMG_7123-320x180.jpeg,Mobile Legends,esports/mobile-legends/prediksi-onic-vs-blacklist-m5,2023-12-08 16:34:50
"Pemenang Esports The Game Awards 2023: Pemenang Beda, Riot Games Berjaya",Pemenang Esports The Game Awards 2023: Riot Games Berjaya!,Esports,Mecca Medina,2023-12-08 12:20:12,2023/12/pemenang-esports-the-game-awards-2023-featured-640x360.jpg,2023/12/pemenang-esports-the-game-awards-2023-featured-320x180.jpg,Esports Lain,esports/esports-lain/pemenang-esports-the-game-awards-2023,2023-12-08 16:34:50
Pemenang The Game Awards 2023: Baldur's Gate 3 Sukses Besar,Pemenang The Game Awards 2023: Baldur's Gate 3 Sukses Besar,Geek,Mecca Medina,2023-12-08 12:00:02,2023/12/pemenang-the-game-awards-2023-featured-640x360.jpg,2023/12/pemenang-the-game-awards-2023-featured-320x180.jpg,Game,geek/game/pemenang-the-game-awards-2023,2023-12-08 16:34:50
"Exoborne Diumumkan di TGA 2023, Digarap Developer Ex-The Division","Exoborne Diumumkan di TGA 2023, Digarap Developer Ex-The Division",Geek,Mecca Medina,2023-12-08 11:40:59,2023/12/exoborne-featured-640x360.jpg,2023/12/exoborne-featured-320x180.jpg,Game,geek/game/exoborne,2023-12-08 16:34:50
"Fakta Menarik Tentang Monster Hunter Rise, Ada Tema Baru?","Fakta Menarik Tentang Monster Hunter Rise, Ada Tema Baru?",Geek,Dwi Ayu,2023-12-08 11:20:24,2023/12/D-25-640x360.jpg,2023/12/D-25-320x180.jpg,Game,geek/game/fakta-menarik-tentang-monster-hunter-rise-ada-tema-baru,2023-12-08 16:34:50
Hero Group Stage M5 yang Paling Sering Di-Pick Pemain,Hero Group Stage M5 yang Paling Sering Di-Pick Pemain,Esports,Mecca Medina,2023-12-08 11:00:07,2023/12/Hero-Group-Stage-M5-featured-640x360.jpg,2023/12/Hero-Group-Stage-M5-featured-320x180.jpg,Mobile Legends,esports/mobile-legends/hero-group-stage-m5,2023-12-08 16:34:50
